song,artist,genre,mood,lyrics
Take Me to Church,Hozier,alternative,intense,"passion worship devotion darkness power deep emotional intensity soul yearning"
Chandelier,Sia,pop,melancholic,"party pain escape struggle dancing darkness letting go swing freedom sadness"
Rather Be,Clean Bandit,electronic,happy,"love home together place belong happiness dance electronic bright energy"
Faded,Alan Walker,electronic,melancholic,"lost searching atlantis underwater memories fading away electronic atmospheric sadness"
Closer,The Chainsmokers,electronic,nostalgic,"memories past relationship reunion bittersweet college days rover storytelling"
Don't Start Now,Dua Lipa,pop,confident,"moving on independence dance disco confidence strength empowerment energy party"
Levitating,Dua Lipa,pop,happy,"space dance disco love gravity floating party energy shine bright happiness"
Save Your Tears,The Weeknd,pop,melancholic,"regret heartbreak rain tears goodbye walking away sadness memories pain"
Watermelon Sugar,Harry Styles,pop rock,happy,"summer sweetness taste berries sunshine warmth happiness sensual bright energy"
drivers license,Olivia Rodrigo,pop,heartbreak,"teenage heartbreak jealousy suburbs crying driving memories pain first love"
good 4 u,Olivia Rodrigo,pop rock,angry,"betrayal anger sarcasm moving on revenge rock energy breakup frustration"
Sunflower,Post Malone,hip hop,relaxed,"easy going laid back sunshine flower simple love carefree positive chill"
Circles,Post Malone,pop,melancholic,"cycle repetition stuck relationship loop confusion sadness running circles pain"
Memories,Maroon 5,pop,nostalgic,"tribute remembrance toast memories celebration sadness loss honor cherish past"
High Hopes,Panic at the Disco,pop rock,optimistic,"dreams ambition mama pride climbing achievement hope energy determination"
Señorita,Shawn Mendes,latin pop,romantic,"passion heat summer romance dance chemistry intense love desire tropical"
bad guy,Billie Eilish,alternative pop,edgy,"dark confidence attitude rebellious unconventional unique mysterious power"
everything i wanted,Billie Eilish,alternative,dark,"depression dreams darkness protection vulnerability underwater sadness support"
dance monkey,Tones and I,pop,energetic,"performance dance attention energy unique voice movement party rhythm beat"
Shallow,Lady Gaga,ballad,emotional,"depth diving love longing connection vulnerability passion intense duet"
Perfect,Ed Sheeran,romantic,love,"wedding romance dancing beautiful love story commitment forever barefoot grass"
Rockstar,Post Malone,hip hop,confident,"lifestyle fame success luxury confidence swagger attitude party energy"
God's Plan,Drake,hip hop,confident,"destiny success blessing hustle motivation determination strength faith power"
Havana,Camila Cabello,latin pop,romantic,"cuba nostalgia romance dance latin rhythm summer heat love tropical"
New Rules,Dua Lipa,pop,empowering,"independence rules strength breakup moving on confidence empowerment party"
Believer,Imagine Dragons,rock,powerful,"pain struggle strength transformation power overcoming adversity energy intense"
Thunder,Imagine Dragons,pop rock,confident,"dreamer underdog success lightning transformation power energy celebration"
Symphony,Clean Bandit,classical pop,romantic,"music love orchestra classical elements beauty harmony together strings"
This Is Me,Keala Settle,pop,empowering,"acceptance courage pride strong warrior brave scars beautiful anthem power"
A Million Dreams,Ziv Zaifman,pop,hopeful,"imagination dreams vision future hope possibilities children wonder aspirations"
Rewrite The Stars,Zac Efron,pop,romantic,"destiny fate love obstacles hope together impossible dream romance"
Yesterday,The Beatles,rock,nostalgic,"past memories longing yesterday troubles simpler times reflection sadness classic"
Let It Be,The Beatles,rock,peaceful,"wisdom acceptance peace calm mother mary words comfort serenity hope"
Imagine,John Lennon,rock,peaceful,"peace unity world harmony hope dreamers together brotherhood calm"
Hallelujah,Leonard Cohen,folk,spiritual,"spiritual praise love loss beauty poetry biblical peaceful contemplative"
Hotel California,Eagles,rock,mysterious,"journey surreal desert mirrors mystery captive hotel atmospheric story dark"
Stairway to Heaven,Led Zeppelin,rock,epic,"journey spiritual quest heaven progression instrumental epic classic legendary"
Sweet Child O' Mine,Guns N' Roses,rock,romantic,"love devotion smile blue eyes sky nostalgia classic rock passion"
Don't Stop Believin',Journey,rock,optimistic,"hope journey midnight train faith believe streetlight people anthem classic"
Wonderwall,Oasis,rock,romantic,"salvation understanding today maybe love connection bridge support classic brit"
Smells Like Teen Spirit,Nirvana,grunge,rebellious,"youth alienation denial mosquito stupid entertainment grunge anthem revolution"
Tears in Heaven,Eric Clapton,ballad,melancholic,"loss grief heaven reunion tragedy pain tears question acoustic sadness"
Nothing Else Matters,Metallica,metal,emotional,"trust devotion nothing else matters love vulnerability heart open deep"
We Will Rock You,Queen,rock,anthemic,"stomp clap anthem energy stadium power unity together strong classic"
I Want to Break Free,Queen,rock,liberation,"freedom independence chains break free liberation power anthem energy"
Africa,Toto,rock,nostalgic,"africa bless rain kilimanjaro journey seeking adventure exotic atmospheric"
Take On Me,a-ha,synthpop,upbeat,"romance chase drawing pencil sketch animated dance 80s synth energy"
Sweet Dreams,Eurythmics,synthpop,dark,"world travel desire control sweet dreams synth dark moody atmosphere"
Every Breath You Take,The Police,rock,obsessive,"watching surveillance every move possession longing dark romantic stalking"
Time After Time,Cyndi Lauper,pop,romantic,"patience waiting love falling catch time clock support eternal"
Livin' on a Prayer,Bon Jovi,rock,hopeful,"struggle love together halfway working class hope determination anthem"
Eye of the Tiger,Survivor,rock,motivational,"fighter rising challenge rigor competition training power determination strength"
Dancing Queen,ABBA,disco,happy,"dance young seventeen party disco joy celebration dancing night energy"
Fernando,ABABA,pop,nostalgic,"memories stars revolution friendship past romantic contemplative strings story"
What a Wonderful World,Louis Armstrong,jazz,peaceful,"beauty nature world flowers rainbow trees wonderful optimistic joy"
Fly Me to the Moon,Frank Sinatra,jazz,romantic,"romance moon stars jupiter spring love classic elegant timeless"
My Way,Frank Sinatra,jazz,reflective,"life regrets journey proud final curtain end looking back strength"
Feeling Good,Nina Simone,jazz,empowering,"new dawn freedom life rebirth birds flying sun powerful confident"
La Vie en Rose,Edith Piaf,chanson,romantic,"love pink rose french romantic classic beautiful eternal passion"
Moon River,Andy Williams,jazz,dreamy,"river journey dream maker friends rainbow classic peaceful contemplative"
Somewhere Over the Rainbow,Judy Garland,jazz,hopeful,"rainbow dreams escape troubles blue skies lullaby hope classic"
